행정코드	행정구역명	여부
2231016	현풍읍	Y
2231031	가창면	Y
2231032	하빈면	Y
2231036	구지면	Y
23	인천광역시	Y
23010	중구	Y
2301052	연안동	Y
2301053	신포동	Y
2301054	신흥동	Y
2301056	도원동	Y
2301057	율목동	Y
2301058	동인천동	Y
2301060	북성동	Y
2301061	송월동	Y
2301065	영종동	Y
2301066	영종1동	Y
2301063	용유동	Y
2301064	운서동	Y
23020	동구	Y
2302051	만석동	Y
2302052	화수1·화평동	Y
2302053	화수2동	Y
2302055	송현1·2동	Y
2302057	송현3동	Y
2302058	송림1동	Y
2302059	송림2동	Y
2302060	송림3·5동	Y
2302061	송림4동	Y
2302063	송림6동	Y
2302064	금창동	Y
23090	미추홀구	Y
2309075	숭의1·3동	Y
2309075	숭의1·3동	Y
2309052	숭의2동	Y
2309054	숭의4동	Y
2309076	용현1·4동	Y
2309076	용현1·4동	Y
2309056	용현2동	Y
2309057	용현3동	Y
2309059	용현5동	Y
2309060	학익1동	Y
2309061	학익2동	Y
2309062	도화1동	Y
2309077	도화2·3동	Y
2309077	도화2·3동	Y
2309065	주안1동	Y
2309066	주안2동	Y
2309067	주안3동	Y
2309068	주안4동	Y
2309069	주안5동	Y
2309070	주안6동	Y
2309071	주안7동	Y
2309072	주안8동	Y
2309073	관교동	Y
2309074	문학동	Y
23040	연수구	Y
2304051	옥련1동	Y
2304060	옥련2동	Y
2304052	선학동	Y
2304053	연수1동	Y
2304054	연수2동	Y
2304055	연수3동	Y
2304056	청학동	Y
2304057	동춘1동	Y
2304058	동춘2동	Y
2304064	송도1동	Y
2304065	송도3동	Y
2304066	송도2동	Y
2304059	동춘3동	Y
2304068	송도4동	Y
2304069	송도5동	Y
23050	남동구	Y
2305051	구월1동	Y
2305052	구월2동	Y
2305053	구월3동	Y
2305054	구월4동	Y
2305055	간석1동	Y
2305056	간석2동	Y
2305057	간석3동	Y
2305058	간석4동	Y
2305059	만수1동	Y
2305060	만수2동	Y
2305061	만수3동	Y
2305062	만수4동	Y
2305063	만수5동	Y
2305064	만수6동	Y
2305067	남촌도림동	Y
2305072	논현1동	Y
2305073	논현2동	Y
2305074	논현고잔동	Y
2305075	장수서창동	Y
2305076	서창2동	Y
23060	부평구	Y
2306051	부평1동	Y
2306052	부평2동	Y
2306053	부평3동	Y
2306054	부평4동	Y
2306055	부평5동	Y
2306056	부평6동	Y
2306057	산곡1동	Y
2306058	산곡2동	Y
2306059	산곡3동	Y
2306060	산곡4동	Y
2306061	청천1동	Y
2306062	청천2동	Y
2306063	갈산1동	Y
2306064	갈산2동	Y
2306065	삼산1동	Y
2306072	삼산2동	Y
2306066	부개1동	Y
2306067	부개2동	Y
2306068	부개3동	Y
2306069	일신동	Y
2306070	십정1동	Y
2306071	십정2동	Y
23070	계양구	Y
2307051	효성1동	Y
2307052	효성2동	Y
2307053	계산1동	Y
2307054	계산2동	Y
2307055	계산3동	Y
2307062	계산4동	Y
2307056	작전1동	Y
2307057	작전2동	Y
2307058	작전서운동	Y
2307063	계양1동	Y
2307064	계양3동	Y
2307061	계양2동	Y
23080	서구	Y
2308051	검암경서동	Y
2308053	연희동	Y
2308054	가정1동	Y
2308055	가정2동	Y
2308056	가정3동	Y
2308073	신현원창동	Y
2308074	청라1동	Y
2308078	청라2동	Y
2308079	청라3동	Y
2308058	석남1동	Y
2308059	석남2동	Y
2308060	석남3동	Y
2308062	가좌1동	Y
2308063	가좌2동	Y
2308064	가좌3동	Y
2308065	가좌4동	Y
2308080	검단동	Y
2308084	오류왕길동	Y
2308085	당하동	Y
2308086	마전동	Y
2308081	불로대곡동	Y
2308082	원당동	Y
23310	강화군	Y
2331011	강화읍	Y
2331031	선원면	Y
2331032	불은면	Y
2331033	길상면	Y
2331034	화도면	Y
2331035	양도면	Y
2331036	내가면	Y
2331037	하점면	Y
2331038	양사면	Y
2331039	송해면	Y
2331040	교동면	Y
2331041	삼산면	Y
2331042	서도면	Y
23320	옹진군	Y
2332031	북도면	Y
2332032	연평면	Y
2332033	백령면	Y
2332034	대청면	Y
2332035	덕적면	Y
2332036	자월면	Y
2332037	영흥면	Y
24	광주광역시	Y
24010	동구	Y
2401051	충장동	Y
2401054	동명동	Y
2401056	계림1동	Y
2401058	계림2동	Y
